    0.3120	  6.3	 -5.3	 1.6536	-14	-9	-18	-17
    0.3170	  5.5	 -5.0	    1.5850	-18	-14	-17	-17
    0.3230	  5.6	 -5.2	    1.6796	-17	-18	-17	-24
    0.3200	  7.0	 -6.3	    2.0160	-17	-17	-24	-32
    0.3130	  7.0	 -4.9	    1.5337	-24	-17	-32	-34
    0.3160	  5.2	 -0.7	    0.2212	-32	-24	-34	-29
    0.3120	  5.8	  0.4	0	-34	-32	-29	-21
    0.3100	  5.8	  0.0	0	-29	-34	-21	-16
    0.3150	  5.5	 -0.6	    0.1890	-21	-29	-16	-7
    0.3210	  5.3	 -2.2	    0.7062	-16	-21	-7	-6
    0.3310	  8.9	 -7.6	    2.5156	-7	-16	-6	-19
    0.3390	 11.6	 -9.9	    3.3561	-6	-7	-19	-47
    0.3330	 15.8	 -9.4	    3.1302	-19	-6	-47	-54
    0.3340	 12.4	  7.8	0	-47	-19	-54	-35
    0.3420	 12.4	 10.0	0	-54	-47	-35	-32
    0.3910	 17.1	  0.0	0	-35	-54	-32	-31
    0.4240	 19.0	  8.7	0	-32	-35	-31	-28
    0.4810	 16.6	 -4.8	    2.3088	-31	-32	-28	-39
    0.5280	 14.9	 -3.3	    1.7424	-28	-31	-39	-43
    0.5170	 17.5	 -5.2	    2.6884	-39	-28	-43	-51
    0.5000	 16.1	 -1.7	    0.8500	-43	-39	-51	-44
    0.5110	 13.1	 -3.1	    1.5841	-51	-43	-44	-33
    0.5450	 13.1	 -0.7	    0.3815	-44	-51	-33	-34
    0.5320	 13.0	 -3.3	    1.7556	-33	-44	-34	-36
    0.5420	 10.5	 -1.7	    0.9214	-34	-33	-36	-39
    0.5240	 11.2	  0.7	0	-36	-34	-39	-24
    0.5360	 11.3	  4.0	0	-39	-36	-24	-31
    0.5760	  8.4	  1.5	0	-24	-39	-31	-37
    0.5980	  7.6	 -0.5	    0.2990	-31	-24	-37	-36
    0.6110	  8.4	  0.5	0	-37	-31	-36	-35
    0.5990	  6.7	  0.3	0	-36	-37	-35	-39
    0.5740	  7.2	 -0.7	    0.4018	-35	-36	-39	-34
    0.5420	  7.9	  0.4	0	-39	-35	-34	-37
    0.5480	  6.6	 -1.2	    0.6576	-34	-39	-37	-32
    0.5460	  6.3	  0.1	0	-37	-34	-32	-33
    0.5520	  5.2	 -1.4	    0.7728	-32	-37	-33	-35
    0.5510	  5.7	 -1.1	    0.6061	-33	-32	-35	-33
    0.5280	  6.0	 -1.4	    0.7392	-35	-33	-33	-31
    0.5620	  6.1	 -2.4	    1.3488	-33	-35	-31	-38
    0.5660	  5.4	 -3.1	    1.7546	-31	-33	-38	-41
    0.5460	  6.4	 -1.0	    0.5460	-38	-31	-41	-39
    0.5310	  6.4	  0.3	0	-41	-38	-39	-37
    0.5220	  5.7	 -0.9	    0.4698	-39	-41	-37	-38
    0.5210	  5.6	  0.1	0	-37	-39	-38	-37
    0.5220	  4.8	 -0.4	    0.2088	-38	-37	-37	-39
    0.5730	  5.1	 -1.6	    0.9168	-37	-38	-39	-40
    0.5410	  5.0	 -1.4	    0.7574	-39	-37	-40	-37
    0.5420	  6.3 	  0.7	0	-40	-39	-37	-28
