41.76	14.96	73.17	1024.07	463.26
62.96	25.18	59.08	1020.04	444.37
39.4	5.11	92.14	1012.16	488.56
57.32	20.86	76.64	1010.24	446.48
37.5	10.82	96.62	1009.23	473.9
59.44	26.27	58.77	1012.23	443.67
43.96	15.89	75.24	1014.02	467.35
44.71	9.48	66.43	1019.12	478.42
45	14.64	41.25	1021.78	475.98
43.56	11.74	70.72	1015.14	477.5
43.72	17.99	75.04	1008.64	453.02
46.93	20.14	64.22	1014.66	453.99
73.5	24.34	84.15	1011.31	440.29
58.59	25.71	61.83	1012.77	451.28
69.34	26.19	87.59	1009.48	433.99
43.79	21.42	43.08	1015.76	462.19
45	18.21	48.84	1022.86	467.54
41.74	11.04	77.51	1022.6	477.2
52.75	14.45	63.59	1023.97	459.85
38.47	13.97	55.28	1015.15	464.3
42.42	17.76	66.26	1009.09	468.27
40.07	5.41	64.77	1019.16	495.24
42.28	7.76	83.31	1008.52	483.8
63.9	27.23	47.19	1014.3	443.61
48.6	27.36	54.93	1003.18	436.06
70.72	27.47	74.62	1009.97	443.25
39.31	14.6	72.52	1011.11	464.16
39.96	7.91	88.44	1023.57	475.52
35.79	5.81	92.28	1012.14	484.41
65.18	30.53	41.85	1012.69	437.89
63.94	23.87	44.28	1019.02	445.11
58.41	26.09	64.58	1013.64	438.86
66.85	29.27	63.25	1011.11	440.98
74.16	27.38	78.61	1010.08	436.65
63.94	24.81	44.51	1018.76	444.26
44.03	12.75	89.46	1007.29	465.86
63.73	24.66	74.52	1011.4	444.37
47.45	16.38	88.86	1010.08	450.69
39.35	13.91	75.51	1014.69	469.02
51.3	23.18	78.64	1012.04	448.86
47.45	22.47	76.65	1007.62	447.14
44.85	13.39	80.44	1017.24	469.18
41.54	9.28	79.89	1018.33	482.8
42.86	11.82	88.28	1014.12	476.7
40.64	10.27	84.6	1020.63	474.99
63.94	22.92	42.69	1019.28	444.22
37.87	16	78.41	1020.24	461.33
43.43	21.22	61.07	1010.96	448.06
44.71	13.46	50	1014.51	474.6
40.11	9.39	77.29	1029.14	473.05
73.5	31.07	43.66	1010.58	432.06
38.62	12.82	83.8	1018.71	467.41
78.92	32.57	66.47	1011.6	430.12
42.18	8.11	93.09	1014.82	473.62
39.39	13.92	80.52	1012.94	471.81
59.43	23.04	68.99	1010.23	442.99
64.44	27.31	57.27	1014.65	442.77
39.33	5.91	95.53	1010.18	491.49
61.08	25.26	71.72	1013.68	447.46
58.84	27.97	57.88	1002.25	446.11
52.3	26.08	63.34	1007.03	442.44
65.71	29.01	48.07	1013.61	446.22
40.1	12.18	91.87	1016.67	471.49
45.87	13.76	87.27	1008.89	463.5
58.79	25.5	64.4	1016.02	440.01
65.34	28.26	43.4	1014.56	441.03
62.96	21.39	72.24	1019.49	452.68
40.69	7.26	90.22	1020.43	474.91
34.03	10.54	74	1018.71	478.77
74.34	27.71	71.85	998.14	434.2
68.3	23.11	86.62	1017.83	437.91
41.01	7.51	97.41	1024.61	477.61
74.67	26.46	84.44	1016.65	431.65
74.34	29.34	81.55	998.58	430.57
42.28	10.32	75.66	1008.82	481.09
61.02	22.74	79.41	1009.56	445.56
39.85	13.48	58.91	1012.71	475.74
69.75	25.52	90.06	1010.36	435.12
67.25	21.58	79	1017.39	446.15
76.86	27.66	69.47	1001.31	436.64
69.45	26.96	51.47	1013.89	436.69
42.18	12.29	83.13	1016.53	468.75
43.02	15.86	40.33	1012.18	466.6
45.08	13.87	81.69	1024.42	465.48
73.68	24.09	94.55	1014.93	441.34
69.45	20.45	91.81	1012.53	441.83
39.3	15.07	63.62	1019	464.7
69.75	32.72	49.35	1009.6	437.99
58.96	18.23	69.61	1015.55	459.12
68.94	35.56	38.75	1006.56	429.69
51.43	18.36	90.17	1010.57	459.8
64.05	26.35	81.24	1009.81	433.63
60.95	25.92	48.46	1014.62	442.84
41.66	8.01	76.72	1014.49	485.13
52.72	19.63	51.16	1025.09	459.12
67.32	20.02	76.34	1012.05	445.31
40.72	10.08	67.3	1022.7	480.8
66.48	27.23	52.38	1005.23	432.55
63.77	23.37	76.44	1013.42	443.86
59.21	18.74	91.55	1018.3	449.77
